Address,Calibration_G0,Calibration_G1,Calibration_G2,Calibration_G3
0,1,2,3,4
1,1,2,3,4
2,1,2,3,4
3,1,2,3,4
4,1,2,3,4
5,1,2,3,4
6,1,2,3,4
7,1,2,3,4
8,1,2,3,4
9,1,2,3,4
10,12,23,34,45
11,12,23,34,45
12,12,23,34,45
13,12,23,34,45
14,12,23,34,45
15,12,23,34,45
16,12,23,34,45
17,12,23,34,45
18,12,23,34,45
19,12,23,34,45
20,12,23,34,45
21,12,23,34,45
22,12,23,34,45
23,12,23,34,45
24,12,23,34,45
25,12,23,34,45
26,12,23,34,45
27,12,23,34,45
28,12,23,34,45
29,12,23,34,45
30,12,23,34,45
31,12,23,34,45
32,12,23,34,45
33,12,23,34,45
34,12,23,34,45
35,12,23,34,45
36,12,23,34,45
37,12,23,34,45
38,12,23,34,45
39,12,23,34,45
40,12,23,34,45
41,12,23,34,45
42,12,23,34,45
43,12,23,34,45
44,12,23,34,45
45,12,23,34,45
46,12,23,34,45
47,12,23,34,45
48,12,23,34,45
49,12,23,34,45
50,12,23,34,45
51,12,23,34,45
52,12,23,34,45
53,12,23,34,45
54,12,23,34,45
55,12,23,34,45
56,12,23,34,45
57,12,23,34,45
58,12,23,34,45
59,12,23,34,45
60,12,23,34,45
61,12,23,34,45
62,12,23,34,45
63,12,23,34,45
64,12,23,34,45
65,12,23,34,45
66,12,23,34,45
67,12,23,34,45
68,12,23,34,45
69,12,23,34,45
70,12,23,34,45
71,12,23,34,45
72,12,23,34,45
73,12,23,34,45
74,12,23,34,45
75,12,23,34,45
76,12,23,34,45
77,12,23,34,45
78,12,23,34,45
79,12,23,34,45
80,12,23,34,45
81,12,23,34,45
82,12,23,34,45
83,12,23,34,45
84,12,23,34,45
85,12,23,34,45
86,12,23,34,45
87,12,23,34,45
88,12,23,34,45
89,12,23,34,45
90,12,23,34,45
91,12,23,34,45
92,12,23,34,45
93,12,23,34,45
94,12,23,34,45
95,12,23,34,45
96,12,23,34,45
97,12,23,34,45
98,12,23,34,45
99,12,23,34,45
100,12,23,34,45
101,12,23,34,45
102,12,23,34,45
103,12,23,34,45
104,12,23,34,45
105,12,23,34,45
106,12,23,34,45
107,12,23,34,45
108,12,23,34,45
109,12,23,34,45
110,12,23,34,45
111,12,23,34,45
112,12,23,34,45
113,12,23,34,45
114,12,23,34,45
115,12,23,34,45
116,12,23,34,45
117,12,23,34,45
118,12,23,34,45
119,12,23,34,45
120,12,23,34,45
121,12,23,34,45
122,12,23,34,45
123,12,23,34,45
124,12,23,34,45
125,12,23,34,45
126,12,23,34,45
127,12,23,34,45
Address,Calibration_G0,Calibration_G1,Calibration_G2,Calibration_G3